Blog	kids	music	want	needed	feeling	singer	saying	much	had	has	minute	working	following	years	didn	one	turned	s	being	world	with	small	past	full	experience	followed	more	self	also	sometimes	last	couple	into	makes	next	perfect	could	scene	festival	stuff	off	become	places	worth	production	another	john	away	hand	musical	night	born	songs	guy	still	not	now	yeah	year	using	start	month	american	albums	feels	close	missing	lives	similar	e	wave	including	special	x	times	big	party	lost	home	star	stay	amp	men	fantastic	room	before	personal	yes	yet	dead	down	weekend	boy	making	interesting	first	performance	get	morning	label	enough	sound	woman	again	u	hour	coming	through	point	cut	later	despite	have	like	school	blue	would	days	however	news	n	gave	when	level	goes	today	turn	sure	guitar	case	without	there	list	sun	version	rather	story	king	kind	solo	sweet	long	nice	folk	our	out	who	why	job	perhaps	wasn	listen	even	fair	best	life	possibly	people	for	happy	love	records	future	take	up	gone	am	an	as	at	original	hours	beautiful	sense	always	week	try	imagine	number	video	play	cover	set	see	sea	whole	fire	funny	recent	be	by	anything	line	baby	let	high	bad	david	hope	stage	all	near	above	then	them	do	de	com	voice	rain	the	together	p	change	live	remember	cold	half	ep	space	shows	friend	short	comes	touch	real	read	recorded	trying	very	strong	feel	since	put	pretty	during	won	else	used	march	run	seeing	doesn	go	keep	anyway	she	written	attention	i	he	new	never	tell	give	loud	girls	matter	stop	is	it	in	if	form	classic	felt	maybe	nbsp	were	black	behind	reading	those	same	audience	videos	fall	town	none	blood	late	everyone	idea	b	throughout	create	understand	fun	moment	spent	from	named	themselves	la	ll	red	works	but	wish	minutes	every	enjoy	street	studio	my	god	got	already	took	talking	been	several	bands	head	hear	no	sing	local	r	any	someone	on	oh	of	might	recently	heart	few	sort	table	member	own	record	other	four	looking	itself	example	series	re	project	came	country	worked	previous	back	inside	leave	st	so	open	city	drive	many	rest	around	dark	her	to	th	found	gold	death	person	d	us	having	seemed	young	move	face	fact	bring	should	means	ve	isn	beach	after	band	we	tracks	air	photo	post	months	way	was	war	true	can	heard	album	british	forever	help	only	between	these	listening	t	heavy	low	lot	family	takes	taken	history	dream	soon	hell	reason	wonderful	look	ready	game	started	hands	completely	based	well	eat	stories	friends	warm	weeks	mean	modern	mind	seen	seem	don	m	decided	against	make	human	me	may	end	man	talk	rock	thing	think	sounds	little	anyone	eyes	show	money	either	deep	important	eye	two	playing	hard	members	done	least	part	believe	most	fans	simple	simply	boys	single	mix	taking	almost	although	about	instead	under	each	top	too	though	radio	watch	quickly	mother	everything	cool	name	place	given	released	college	outside	pop	myself	check	seems	stand	what	known	style	call	him	nothing	once	light	material	their	which	present	gets	made	below	second	here	brought	until	hold	how	hot	debut	release	and	played	things	easy	right	old	o	time	alone	along	such	course	amazing	quite	punk	sad	say	saw	knew	slow	going	artist	where	summer	power	favorite	side	complete	age	social	its	blues	really	ago	great	this	or	doing	haven	less	paul	five	does	chance	follow	word	work	indie	order	break	dance	guitars	write	use	couldn	yourself	that	than	title	thinking	early	your	you	a	actually	miss	clear	probably	both	whatever	while	some	front	final	need	able	state	group	career	artists	piece	ever	better	went	lyrics	bar	told	said	three	left	just	finally	did	wait	soul	thank	main	girl	living	track	especially	across	mark	different	tour	running	they	road	children	good	house	fine	find	please	bit	often	body	others	something	day	loved	beat	looks	thought	soft	noise	york	must	over	writing	free	wanted	longer	says	water	words	white	ways	review	come	blog	song	far	fan	return	his	hit	art	are	various	c	moving	called	women	ones	will	know	because	lead	getting	book
bittersweet	1	1	16	3	4	0	5	26	47	18	1	3	0	17	21	67	4	143	20	4	73	3	4	2	2	0	49	0	15	7	18	3	7	3	6	3	13	0	0	2	13	3	1	0	0	5	1	9	1	0	13	2	3	3	28	92	39	1	12	0	1	5	3	0	4	1	2	9	0	2	0	3	2	2	12	10	0	2	10	8	1	0	4	0	0	16	0	23	19	2	4	0	3	1	0	10	0	13	1	0	3	0	5	14	0	3	1	9	7	3	3	0	68	73	2	7	23	12	1	5	0	4	58	0	2	10	2	8	0	2	10	47	2	1	2	4	0	0	10	2	8	18	11	0	10	24	46	24	2	1	9	2	25	0	6	25	2	21	109	11	63	0	1	6	42	4	12	16	50	49	0	7	9	2	14	2	2	0	2	2	2	0	2	22	3	1	0	3	1	63	25	16	1	4	8	1	6	0	16	1	53	1	0	23	17	35	5	0	0	0	311	1	2	0	4	4	0	0	0	2	1	9	2	6	1	7	5	0	5	26	3	16	12	5	10	3	12	12	15	0	4	1	6	18	7	18	42	2	2	695	103	6	18	14	10	0	0	4	9	92	198	111	41	0	0	16	27	14	43	3	4	1	25	11	0	3	1	0	0	0	6	2	2	0	0	1	11	5	1	0	28	2	0	0	50	7	0	122	8	2	12	0	0	0	172	3	8	2	1	2	25	0	0	5	3	35	0	0	0	23	22	74	8	202	2	2	14	13	3	0	0	6	1	19	0	9	3	0	0	45	0	9	1	0	2	24	1	6	0	127	4	0	0	15	5	3	4	23	260	0	3	0	3	9	13	12	3	3	11	1	13	2	1	4	1	30	1	2	16	2	43	0	0	0	3	6	11	163	0	5	51	1	0	1	3	1	13	3	20	0	120	0	0	5	0	1	1	0	8	9	0	0	3	12	0	3	5	2	1	0	15	6	0	1	2	1	9	3	9	2	0	39	73	1	1	17	1	109	9	6	11	5	0	16	32	1	24	5	31	6	1	2	3	1	2	14	2	6	1	3	13	1	7	20	0	4	5	0	2	0	1	6	0	63	2	0	4	1	40	14	0	3	1	5	5	2	8	9	2	0	0	0	1	7	0	2	0	79	1	2	3	39	18	2	2	0	13	16	1	1	8	0	2	11	0	2	1	41	3	0	0	254	0	24	0	12	11	0	30	2	3	4	12	4	12	0	19	24	7	9	0	10	0	5	0	2	0	8	0	1	3	0	0	40	8	4	58	45	5	2	2	0	0	3	2	0	7	7	1	1	0	1	0	7	2	4	1	211	25	0	3	3	38	249	236	6	1	0	12	3	2	1	37	0	0	10	0	0	0	0	0	2	10	7	17	0	0	6	30	1	17	108	4	15	8	8	2	0	2	3	1	5	1	0	4	0	1	54	0	1	21	0	2	8	4	10	2	1	1	20	34	6	2	1	15	2	0	1	3	6	3	0	10	7	1	2	13	2	1	0	12	2	0	3	0	0	38	1	0	60	1	0	0	5	2	5	20	45	9	1	7	2
adrianoblog	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	6	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	57	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tumbleweed	1	3	14	4	1	0	0	9	7	5	0	3	0	0	5	25	0	54	4	1	18	1	0	0	0	0	3	0	2	2	5	0	5	2	1	3	2	0	0	0	3	3	2	0	0	4	0	4	4	0	0	0	7	0	8	19	8	0	4	0	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	3	0	0	0	5	1	4	1	1	0	0	3	0	6	3	0	1	0	0	15	1	1	2	8	2	1	2	0	15	23	1	0	8	1	0	0	0	1	20	0	0	9	0	3	3	0	3	12	0	3	0	1	2	1	0	0	0	4	1	0	8	9	8	9	1	0	3	6	8	0	3	7	0	7	31	2	8	0	1	2	16	2	9	8	8	21	0	0	7	0	1	1	1	0	0	0	3	0	1	9	0	2	1	0	0	24	21	4	1	0	4	0	3	0	9	0	37	0	0	4	9	7	0	0	2	2	136	4	0	2	1	7	0	0	0	0	0	1	1	2	0	2	2	0	6	0	0	7	0	4	0	1	5	4	1	0	3	0	3	6	4	0	5	0	1	265	24	6	3	4	6	0	0	1	6	48	84	54	9	1	0	2	10	16	11	1	0	1	6	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	12	0	0	1	17	0	0	26	4	0	4	0	1	0	111	11	3	1	2	3	1	0	0	7	3	2	5	1	0	1	6	30	0	70	5	0	7	2	2	0	0	4	0	2	2	2	1	0	0	11	0	2	1	0	0	6	1	1	0	17	2	0	1	0	1	0	1	10	105	0	0	0	5	2	3	1	1	0	0	0	2	1	1	0	2	3	1	1	1	2	12	0	1	0	0	0	15	26	0	2	28	1	0	0	4	2	4	1	3	1	59	0	0	1	2	1	0	1	1	0	1	1	1	4	0	0	1	4	0	0	3	2	0	3	0	1	1	0	1	0	0	14	34	0	0	2	0	55	0	2	3	3	1	2	10	1	2	0	5	2	0	1	0	1	0	8	2	10	0	0	2	3	1	3	0	0	1	0	0	0	4	1	0	9	0	2	1	0	10	3	0	0	0	0	6	0	0	2	0	0	0	0	0	7	0	0	1	11	0	1	1	1	0	4	1	0	4	1	0	0	3	0	3	3	1	0	1	14	1	0	0	103	1	10	2	8	2	0	12	1	3	1	1	0	1	0	2	3	1	2	0	5	0	8	5	0	13	4	0	0	0	1	0	3	0	6	22	8	1	1	3	0	3	1	1	1	1	0	0	0	0	0	0	1	1	3	1	59	3	0	4	0	22	58	91	0	7	0	1	1	0	0	1	3	0	3	2	0	0	0	0	0	1	2	2	3	0	6	2	4	1	14	1	2	0	2	2	0	0	1	1	0	1	0	0	0	3	15	0	0	2	3	0	3	0	1	0	2	0	12	4	3	0	1	5	0	0	0	2	3	1	7	3	0	5	0	4	2	0	0	2	1	18	2	0	0	1	1	0	22	0	0	2	1	0	1	14	23	13	0	0	0
the traveling neighborhood	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	1	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2	5	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	7	1	1	0	0	1	1	0	1	2	3	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	3	0	2	0	0	0	0	0	0	0	8	4	6	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	4	0	13	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	15	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	16	0	1	0	1	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	8	10	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	2	0	1	0	0	0
LOST  PLACES	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	16	0	3	6	0	0	1	0	0	3	0	1	0	3	0	1	0	7	0	0	0	0	0	0	0	16	0	0	0	5	2	3	0	5	1	2	0	0	5	0	0	1	0	1	0	0	0	1	0	0	0	0	4	5	0	1	2	1	1	3	21	0	0	2	30	1	0	5	0	0	0	0	12	1	0	5	0	0	2	2	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	6	0	3	0	3	0	0	5	0	1	0	1	2	1	0	0	0	1	3	0	2	10	0	0	1	0	0	0	2	0	0	0	4	1	3	0	0	0	0	2	0	0	3	0	1	12	1	16	0	2	1	1	0	3	2	0	1	0	0	0	0	1	0	0	0	4	3	0	0	3	0	1	0	0	1	0	4	4	0	1	1	0	0	1	1	2	0	7	0	0	0	0	7	7	1	0	1	134	1	0	0	9	0	6	0	0	2	0	0	2	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1	4	0	0	5	0	1	29	2	3	4	0	0	1	1	0	0	15	5	45	0	1	0	0	0	3	0	16	0	0	0	0	0	0	1	1	0	4	0	0	0	2	0	0	0	0	2	0	1	0	0	15	1	3	1	1	0	0	0	0	0	0	15	2	0	0	0	1	1	0	0	4	0	19	1	0	3	0	0	19	0	43	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	3	1	2	1	0	0	4	2	0	0	4	1	1	2	0	0	0	5	1	20	0	0	0	4	2	4	0	0	0	1	1	3	0	1	0	0	2	1	0	1	0	7	0	0	2	2	0	2	3	3	0	4	0	0	0	1	0	1	0	0	1	12	2	1	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	4	12	0	0	1	9	13	3	3	3	0	0	3	2	1	3	0	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	4	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	2	1	0	0	0	0	2	0	6	0	0	0	4	0	0	0	1	2	0	0	1	3	5	0	0	17	0	1	0	4	0	4	4	3	0	0	1	0	1	2	1	3	0	1	4	0	1	1	0	0	0	2	0	1	0	0	1	1	0	0	8	7	0	0	1	1	0	0	0	1	1	0	0	1	0	5	0	0	0	0	2	2	0	0	0	0	11	12	43	0	3	0	0	0	0	0	0	2	0	1	0	2	0	1	0	0	0	2	0	0	1	1	1	0	1	1	0	1	2	3	0	0	5	4	1	0	1	1	0	0	1	0	0	2	1	2	2	0	1	0	0	5	0	1	1	0	2	0	0	8	0	1	0	2	0	2	0	0	0	0	0	5	0	0	1	0	2	2	0	3	0	1	1	5	0	3	0	0	0	0	0	2	0	0	0	0
the roofy leak	0	5	2	0	0	1	1	1	2	3	0	0	1	1	0	17	1	40	4	3	37	0	1	4	0	0	3	1	3	2	4	3	6	0	1	1	1	3	1	2	3	0	0	1	0	5	1	2	0	3	0	4	6	0	1	17	3	0	2	0	3	0	1	2	0	0	0	0	0	0	2	2	0	0	0	0	0	1	3	0	0	3	0	1	0	6	1	1	3	2	0	0	4	0	1	5	0	2	0	11	1	0	0	2	0	0	2	1	0	2	3	0	5	9	0	2	3	0	0	1	0	0	2	0	1	1	0	1	2	2	0	6	1	0	4	0	0	3	0	0	0	4	0	0	4	10	4	1	0	1	0	0	1	0	3	1	1	2	10	0	4	21	0	2	11	0	0	9	17	8	0	0	0	0	0	0	0	0	1	0	0	2	1	2	2	0	1	0	0	7	12	0	0	0	3	0	1	1	0	0	9	0	1	8	3	1	0	1	2	0	123	3	1	0	0	0	1	0	5	0	0	3	5	1	1	1	0	3	0	9	0	1	0	1	3	4	1	1	0	0	1	0	0	0	0	2	1	0	0	21	0	8	1	0	1	0	0	1	0	17	27	58	4	1	2	0	0	75	9	0	1	0	2	3	0	0	1	1	1	0	3	0	0	3	0	0	0	0	0	0	36	0	1	0	1	0	0	10	0	0	1	2	0	0	10	0	8	1	1	0	3	5	1	0	2	6	0	1	0	2	2	31	0	64	1	0	2	2	0	0	0	3	11	4	2	1	0	2	0	4	1	1	0	0	0	2	0	0	1	5	0	0	0	1	0	0	1	0	40	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	26	3	1	0	0	4	1	3	19	0	0	3	3	16	2	0	0	6	0	4	0	5	1	0	0	0	1	0	0	1	1	0	2	1	0	1	0	0	0	2	4	3	0	0	1	0	0	0	1	1	0	0	3	3	0	0	1	0	13	0	1	0	0	1	2	3	3	4	0	0	0	0	0	1	0	1	8	0	0	2	0	0	1	0	4	0	0	0	0	20	3	0	0	0	1	0	10	1	1	0	1	1	1	0	1	0	0	4	1	0	18	2	0	5	1	2	0	0	8	1	0	1	0	0	0	0	0	13	6	1	0	0	1	3	6	0	0	0	0	0	5	4	70	0	1	2	4	0	0	9	0	0	2	0	1	1	3	1	3	0	0	0	2	0	3	0	0	1	5	0	0	0	5	0	2	0	2	36	8	0	1	0	1	2	2	0	0	1	0	14	0	1	2	0	0	0	0	2	27	1	2	0	8	5	17	70	0	0	0	0	5	2	2	3	0	1	0	2	3	2	1	0	2	3	1	1	0	0	0	6	1	0	7	1	0	0	0	0	0	0	0	5	0	0	0	3	0	1	7	0	0	3	4	1	0	0	5	0	0	0	0	8	0	2	0	0	2	0	2	1	1	0	2	0	0	0	0	0	3	0	1	1	0	5	2	1	0	0	0	0	8	0	2	0	2	0	0	5	5	0	0	1	0
CLOUDBUSTING	0	3	1	0	3	0	0	1	2	3	0	1	1	2	0	5	0	32	2	0	5	2	1	1	0	0	3	0	2	1	6	0	0	0	1	2	3	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	10	3	1	5	1	1	1	0	0	0	0	0	0	0	0	0	0	2	8	1	1	0	2	2	0	2	4	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	9	18	0	2	4	0	0	0	2	0	2	0	0	2	0	2	0	0	1	5	0	0	0	0	1	1	5	0	3	2	1	0	1	3	2	3	0	0	0	0	0	0	2	5	0	5	16	1	6	1	0	1	2	0	0	4	3	10	1	1	6	0	2	6	0	1	0	1	1	1	0	3	0	2	0	2	0	4	9	5	1	0	1	0	3	0	1	1	7	4	1	0	6	3	0	0	0	6	57	0	1	0	0	1	2	0	0	1	0	2	0	2	0	2	1	0	1	7	1	2	0	0	2	0	0	0	0	0	0	0	0	2	1	1	1	0	0	79	1	7	2	1	1	0	2	0	0	40	27	31	2	0	0	1	0	18	1	4	0	3	1	0	0	0	1	2	0	0	1	1	0	2	0	1	1	0	2	0	12	0	0	0	0	0	0	14	0	0	0	3	0	0	28	0	2	2	0	0	7	0	1	0	0	3	2	0	0	0	1	11	0	36	3	5	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	13	0	2	0	2	0	0	2	0	27	1	1	0	0	2	2	0	1	1	2	3	0	0	1	0	0	9	2	0	0	3	4	2	0	4	1	0	1	6	0	0	6	1	2	5	1	1	0	0	2	1	6	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	1	1	0	2	13	0	0	0	0	6	2	4	1	0	0	1	5	0	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	1	4	1	0	0	1	0	3	0	1	0	2	0	0	0	0	6	4	0	0	0	0	1	0	0	6	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	4	0	8	1	0	0	3	0	2	4	0	1	0	0	0	0	0	32	1	1	2	3	1	0	2	1	0	2	0	0	1	0	0	4	0	0	0	2	0	1	4	1	2	0	0	0	1	0	0	2	0	1	22	6	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	17	3	0	1	0	5	9	39	2	0	0	1	0	0	0	7	0	0	3	0	0	0	0	2	0	3	0	0	1	0	0	0	1	0	2	1	2	1	0	3	0	2	1	2	1	0	0	1	0	0	5	0	0	5	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	3	1	0	0	1	1	2	3	1	1	1	0	3	12	0	2	0	1	0	0	3	5	2	0	0	4
sweeping the kitchen	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
